Title,Rating
205. Star Trek,6.8
206. Avengers: The Kang Dynasty,6.8
207. The Lost City,6.8
208. Silverado,6.8
209. The Patriot,6.8
210. Sonic the Hedgehog 3,6.8
211. The School for Good and Evil,6.8
212. Venom: Let There Be Carnage,6.8
213. Watchmen,6.8
214. The Tomorrow War,6.8
215. X-Men,6.8
216. Constantine,6.8
217. Super 8,6.8
218. Edge of Tomorrow,6.8
219. Homefront,6.8
220. Justice League,6.8
221. Ghostbusters,6.8
222. How to Train Your Dragon,6.8
223. Captain Marvel,6.8
224. Godzilla vs. Kong,6.8
225. Dead Shot,6.8
226. Captain America: Civil War,6.8
227. Dawn of the Dead,6.8
228. Men in Black 3,6.8
229. Point Break,6.8
230. 3:10 to Yuma,6.8
231. Speed,6.8
232. Sky High,6.8
233. American Sniper,6.8
234. The Equalizer 2,6.8
235. Les trois mousquetaires: D'Artagnan,6.8
236. Spider-Man: Far from Home,6.8
237. Mission: Impossible - Ghost Protocol,6.8
238. Napoleon,6.8
239. Man of Steel,6.8
240. Predator,6.8
241. Star Wars: Episode II - Attack of the Clones,6.8
242. Iron Man Three,6.8
243. Pearl Harbor,6.8
244. The Hunt,6.8
245. Resident Evil,6.8
246. Red Notice,6.8
247. The Last Duel,6.8
248. Shooter,6.8
249. Tag,6.8
250. The Maze Runner,6.8
251. Escape Room,6.2
252. Cloverfield,6.2
253. Spider-Man 2,6.2
254. Strange World,6.2
255. Wonder Woman,6.2
256. Face/Off,6.2
257. Sonic the Hedgehog 2,6.2
258. The Warriors,6.2
259. World War Z,6.2
260. Mafia Mamma,6.2
261. Masters of the Universe,6.2
262. Mission: Impossible III,6.2
263. The Revenant,6.2
264. Fantastic Four,6.2
265. Superman,6.2
266. Divergent,6.2
267. Kong: Skull Island,6.2
268. The Mask,6.2
269. Warcraft,6.2
270. Skyfall,6.2
271. Avengers: Secret Wars,6.2
272. Gone in Sixty Seconds,6.2
273. Knight and Day,6.2
274. The Bourne Identity,6.2
275. Transformers: Dark of the Moon,6.2
276. The Rock,6.2
277. Teen Wolf: The Movie,6.2
278. San Andreas,6.2
279. Kraven the Hunter,6.2
280. Armageddon,6.2
281. Morbius,6.2
282. Pokémon: Detective Pikachu,6.2
283. Alita: Battle Angel,6.2
284. Darby's Rangers,6.2
285. Rush,6.2
286. Incredibles 2,6.2
287. Ambulance,6.2
288. The Adam Project,6.2
289. Lucy,6.2
290. Death Proof,6.2
291. Twister,6.2
292. Teenage Mutant Ninja Turtles,6.2
293. Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,6.2
294. The Day After Tomorrow,6.2
295. Mission: Impossible II,6.2
296. Mojave Diamonds,6.2
297. Where Eagles Dare,6.2
298. Wanted,6.2
299. Oldboy,6.2
300. The Legend of Tarzan,6.2
301. The Guardian,7.7
302. Devotion,7.7
303. Batman v Superman: Dawn of Justice,7.7
304. Shotgun Wedding,7.7
305. The Lego Movie,7.7
306. Fast X: Part 2,7.7
307. Pirates of the Caribbean: On Stranger Tides,7.7
308. Memory,7.7
309. Murder Mystery,7.7
310. Hot Fuzz,7.7
311. Pirates of the Caribbean: At World's End,7.7
312. Wonder Woman 1984,7.7
313. 21 Jump Street,7.7
314. Star Trek Into Darkness,7.7
315. Madame Web,7.7
316. Chaos Walking,7.7
"317. Lock, Stock and Two Smoking Barrels",7.7
318. 13 Hours,7.7
319. Men in Black II,7.7
320. Kingdom of Heaven,7.7
321. Transformers: Revenge of the Fallen,7.7
322. RoboCop,7.7
323. Sonic the Hedgehog,7.7
324. Big Trouble in Little China,7.7
325. A Knight's Tale,7.7
326. V for Vendetta,7.7
327. Busanhaeng,7.7
328. Van Helsing,7.7
329. Pirates of the Caribbean: Dead Man's Chest,7.7
330. Zombieland,7.7
331. X-Men: Days of Future Past,7.7
332. The Last of the Mohicans,7.7
333. Vikram Vedha,7.7
334. Master and Commander: The Far Side of the World,7.7
335. King Kong,7.7
336. The Running Man,7.7
337. Blade,7.7
338. Training Day,7.7
339. Last Action Hero,7.7
340. Doctor Strange,7.7
341. Beverly Hills Cop,7.7
342. The Man from U.N.C.L.E.,7.7
343. Iron Man 2,7.7
344. Batman & Robin,7.7
345. Gods of Egypt,7.7
346. The Best Man,7.7
347. The Mummy,7.7
348. The Expendables 3,7.7
349. War of the Worlds,7.7
350. Man on Fire,7.7
351. The Other Guys,4.3
352. Ocean's Eight,4.3
353. Akira,4.3
354. Taken,4.3
355. The Mummy Returns,4.3
356. Ronin,4.3
357. Rebel Moon,4.3
358. El Camino: A Breaking Bad Movie,4.3
359. John Carter,4.3
360. Raya and the Last Dragon,4.3
361. Teenage Mutant Ninja Turtles,4.3
362. Tron,4.3
363. Kung Fu Panda,4.3
364. X-Men: Apocalypse,4.3
365. Johnny & Clyde,4.3
366. Children of Men,4.3
367. Creed,4.3
368. Spectre,4.3
369. Captain America: The Winter Soldier,4.3
370. Batman Returns,4.3
371. X: First Class,4.3
372. The Amazing Spider-Man 2,4.3
373. The Crow,4.3
374. How to Train Your Dragon,4.3
375. Looper,4.3
376. 6 Underground,4.3
377. Mad Max 2,4.3
378. Kick-Ass,4.3
379. Star Trek Beyond,4.3
380. Jack Reacher: Never Go Back,4.3
381. Snowpiercer,4.3
382. Con Air,4.3
383. Virupaksha,4.3
384. DC League of Super-Pets,4.3
385. The Expendables,4.3
386. Greyhound,4.3
387. Pacific Rim,4.3
388. The Quick and the Dead,4.3
389. Airport,4.3
390. Beast,4.3
391. American Made,4.3
392. What Happened to Monday,4.3
393. Howard the Duck,4.3
394. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,4.3
395. The Lost World: Jurassic Park,4.3
396. Army of the Dead,4.3
397. Rango,4.3
398. Rush Hour,4.3
399. Hellboy,4.3
400. Come Out Fighting,4.3
401. Battleship,6.6
402. Red Dawn,6.6
403. Oblivion,6.6
404. Falling Down,6.6
405. The Three Musketeers,6.6
406. Triple Frontier,6.6
407. 2018,6.6
408. The Fugitive,6.6
409. Stargate,6.6
410. Atomic Blonde,6.6
411. Escape Room: Tournament of Champions,6.6
412. Supergirl,6.6
